id_addiv,of_addiv,name_addiv,name_addiv_1,dw,name_addiv_2
79,,THANH PHO HO CHI MINH,TPHCM, THANH PHO HO CHI MINH,THANH PHO HO CHI MINH
999,79,THANH PHO THU DUC,TPTD, THANH PHO THU DUC,THANH PHO THU DUC
760,79,QUAN 1,QA01,79 QUAN 1,QUAN 01
761,79,QUAN 12,QA12,79 QUAN 12,QUAN 12
762,79,QUAN THU DUC,QTDC,79 QUAN THU DUC,QUAN THU DUC
763,79,QUAN 9,QA09,79 QUAN 9,QUAN 09
764,79,QUAN GO VAP,QGVP,79 QUAN GO VAP,QUAN GO VAP
765,79,QUAN BINH THANH,QBTH,79 QUAN BINH THANH,QUAN BINH THANH
766,79,QUAN TAN BINH,QTBH,79 QUAN TAN BINH,QUAN TAN BINH
767,79,QUAN TAN PHU,QTPH,79 QUAN TAN PHU,QUAN TAN PHU
768,79,QUAN PHU NHUAN,QPNH,79 QUAN PHU NHUAN,QUAN PHU NHUAN
769,79,QUAN 2,QA02,79 QUAN 2,QUAN 02
770,79,QUAN 3,QA03,79 QUAN 3,QUAN 03
771,79,QUAN 10,QA10,79 QUAN 10,QUAN 10
772,79,QUAN 11,QA11,79 QUAN 11,QUAN 11
773,79,QUAN 4,QA04,79 QUAN 4,QUAN 04
774,79,QUAN 5,QA05,79 QUAN 5,QUAN 05
775,79,QUAN 6,QA06,79 QUAN 6,QUAN 06
776,79,QUAN 8,QA08,79 QUAN 8,QUAN 08
777,79,QUAN BINH TAN,QBTN,79 QUAN BINH TAN,QUAN BINH TAN
778,79,QUAN 7,QA07,79 QUAN 7,QUAN 07
783,79,HUYEN CU CHI,QCCH,79 HUYEN CU CHI,HUYEN CU CHI
784,79,HUYEN HOC MON,QHMN,79 HUYEN HOC MON,HUYEN HOC MON
785,79,HUYEN BINH CHANH,QBCH,79 HUYEN BINH CHANH,HUYEN BINH CHANH
786,79,HUYEN NHA BE,QNBE,79 HUYEN NHA BE,HUYEN NHA BE
787,79,HUYEN CAN GIO,QCGI,79 HUYEN CAN GIO,HUYEN CAN GIO
26734,760,TAN DINH,,760 TAN DINH,
26737,760,DA KAO,,760 DA KAO,
26740,760,BEN NGHE,,760 BEN NGHE,
26743,760,BEN THANH,,760 BEN THANH,
26746,760,NGUYEN THAI BINH,,760 NGUYEN THAI BINH,
26749,760,PHAM NGU LAO,,760 PHAM NGU LAO,
26752,760,CAU ONG LANH,,760 CAU ONG LANH,
26755,760,CO GIANG,,760 CO GIANG,
26758,760,NGUYEN CU TRINH,,760 NGUYEN CU TRINH,
26761,760,CAU KHO,,760 CAU KHO,
26764,761,THANH XUAN,,761 THANH XUAN,
26767,761,THANH LOC,,761 THANH LOC,
26770,761,HIEP THANH,,761 HIEP THANH,
26773,761,THOI AN,,761 THOI AN,
26776,761,TAN CHANH HIEP,,761 TAN CHANH HIEP,
26779,761,AN PHU DONG,,761 AN PHU DONG,
26782,761,TAN THOI HIEP,,761 TAN THOI HIEP,
26785,761,TRUNG MY TAY,,761 TRUNG MY TAY,
26787,761,TAN HUNG THUAN,,761 TAN HUNG THUAN,
26788,761,DONG HUNG THUAN,,761 DONG HUNG THUAN,
26791,761,TAN THOI NHAT,,761 TAN THOI NHAT,
26794,762,LINH XUAN,,762 LINH XUAN,
26797,762,BINH CHIEU,,762 BINH CHIEU,
26800,762,LINH TRUNG,,762 LINH TRUNG,
26803,762,TAM BINH,,762 TAM BINH,
26806,762,TAM PHU,,762 TAM PHU,
26809,762,HIEP BINH PHUOC,,762 HIEP BINH PHUOC,
26812,762,HIEP BINH CHANH,,762 HIEP BINH CHANH,
26815,762,LINH CHIEU,,762 LINH CHIEU,
26818,762,LINH TAY,,762 LINH TAY,
26821,762,LINH DONG,,762 LINH DONG,
26824,762,BINH THO,,762 BINH THO,
26827,762,TRUONG THO,,762 TRUONG THO,
26830,763,LONG BINH,,763 LONG BINH,
26833,763,LONG THANH MY,,763 LONG THANH MY,
26836,763,TAN PHU,,763 TAN PHU,
