id_addiv,pop,pop_NAM,pop_NU,pop_TT,pop_TT_NAM,pop_TT_NU,pop_NT,pop_NT_NAM,pop_NT_NU
79,8993082,4381242,4611840,7125493,3448709,3676784,1867589,932533,935056
999,1169967,,,,,,,,
760,142625,65928,76697,142625,65928,76697,0,0,0
26734,23258,10718,12540,23258,10718,12540,0,0,0
26737,14970,6998,7972,14970,6998,7972,0,0,0
26740,10633,4999,5634,10633,4999,5634,0,0,0
26743,11714,5299,6415,11714,5299,6415,0,0,0
26746,9716,4392,5324,9716,4392,5324,0,0,0
26749,15183,6952,8231,15183,6952,8231,0,0,0
26752,10737,4889,5848,10737,4889,5848,0,0,0
26755,11517,5337,6180,11517,5337,6180,0,0,0
26758,21191,10068,11123,21191,10068,11123,0,0,0
26761,13706,6276,7430,13706,6276,7430,0,0,0
761,620146,310207,309939,620146,310207,309939,0,0,0
26764,54220,27308,26912,54220,27308,26912,0,0,0
26767,59163,30004,29159,59163,30004,29159,0,0,0
26770,99417,49235,50182,99417,49235,50182,0,0,0
26773,46893,23385,23508,46893,23385,23508,0,0,0
26776,78595,39965,38630,78595,39965,38630,0,0,0
26779,46512,23564,22948,46512,23564,22948,0,0,0
26782,53137,26348,26789,53137,26348,26789,0,0,0
26785,42037,20991,21046,42037,20991,21046,0,0,0
26787,33467,16656,16811,33467,16656,16811,0,0,0
26788,45793,22685,23108,45793,22685,23108,0,0,0
26791,60912,30066,30846,60912,30066,30846,0,0,0
762,592686,293155,299531,592686,293155,299531,0,0,0
26794,61852,30330,31522,61852,30330,31522,0,0,0
26797,77984,38368,39616,77984,38368,39616,0,0,0
26800,64886,32477,32409,64886,32477,32409,0,0,0
26803,29411,14731,14680,29411,14731,14680,0,0,0
26806,32926,16493,16433,32926,16493,16433,0,0,0
26809,63454,31796,31658,63454,31796,31658,0,0,0
26812,101223,50518,50705,101223,50518,50705,0,0,0
26815,30609,14169,16440,30609,14169,16440,0,0,0
26818,24627,12518,12109,24627,12518,12109,0,0,0
26821,43429,20687,22742,43429,20687,22742,0,0,0
26824,14953,7327,7626,14953,7327,7626,0,0,0
26827,47332,23741,23591,47332,23741,23591,0,0,0
763,397006,198271,198735,397006,198271,198735,0,0,0
26830,23505,11601,11904,23505,11601,11904,0,0,0
26833,35502,17721,17781,35502,17721,17781,0,0,0
26836,37857,18376,19481,37857,18376,19481,0,0,0
26839,25409,12731,12678,25409,12731,12678,0,0,0
26842,46661,24357,22304,46661,24357,22304,0,0,0
26845,37381,19013,18368,37381,19013,18368,0,0,0
26848,64983,31874,33109,64983,31874,33109,0,0,0
26851,26883,13143,13740,26883,13143,13740,0,0,0
26854,23431,11795,11636,23431,11795,11636,0,0,0
26857,11857,5920,5937,11857,5920,5937,0,0,0
26860,25575,12969,12606,25575,12969,12606,0,0,0
26863,15746,7637,8109,15746,7637,8109,0,0,0
26866,22216,11134,11082,22216,11134,11082,0,0,0
764,676899,329487,347412,676899,329487,347412,0,0,0
26869,40289,20276,20013,40289,20276,20013,0,0,0
26872,24229,11888,12341,24229,11888,12341,0,0,0
26875,54728,26385,28343,54728,26385,28343,0,0,0
26876,34340,17104,17236,34340,17104,17236,0,0,0
26878,54520,25965,28555,54520,25965,28555,0,0,0
26881,60502,29933,30569,60502,29933,30569,0,0,0
26882,48491,23352,25139,48491,23352,25139,0,0,0
26884,47330,22992,24338,47330,22992,24338,0,0,0
26887,55765,27702,28063,55765,27702,28063,0,0,0
26890,35118,17835,17283,35118,17835,17283,0,0,0
26893,20520,9247,11273,20520,9247,11273,0,0,0
26896,21934,10351,11583,21934,10351,11583,0,0,0
26897,34596,16852,17744,34596,16852,17744,0,0,0
26898,32778,15685,17093,32778,15685,17093,0,0,0
26899,56130,27718,28412,56130,27718,28412,0,0,0
26902,55629,26202,29427,55629,26202,29427,0,0,0
765,499164,234689,264475,499164,234689,264475,0,0,0
26905,37192,18572,18620,37192,18572,18620,0,0,0
26908,31609,14533,17076,31609,14533,17076,0,0,0
26911,21659,10233,11426,21659,10233,11426,0,0,0
26914,42067,19999,22068,42067,19999,22068,0,0,0
26917,36701,17106,19595,36701,17106,19595,0,0,0
26920,42674,20338,22336,42674,20338,22336,0,0,0
26923,16342,7460,8882,16342,7460,8882,0,0,0
26926,14555,6621,7934,14555,6621,7934,0,0,0
26929,24447,11313,13134,24447,11313,13134,0,0,0
26932,10300,4770,5530,10300,4770,5530,0,0,0
26935,11106,5092,6014,11106,5092,6014,0,0,0
26938,24947,11746,13201,24947,11746,13201,0,0,0
26941,17567,8118,9449,17567,8118,9449,0,0,0
26944,12482,5936,6546,12482,5936,6546,0,0,0
26947,22603,10383,12220,22603,10383,12220,0,0,0
26950,23155,10642,12513,23155,10642,12513,0,0,0
26953,23164,10792,12372,23164,10792,12372,0,0,0
26956,49842,23340,26502,49842,23340,26502,0,0,0
26959,19997,9291,10706,19997,9291,10706,0,0,0
26962,16755,8404,8351,16755,8404,8351,0,0,0
766,474792,230014,244778,474792,230014,244778,0,0,0
26965,36529,17843,18686,36529,17843,18686,0,0,0
26968,31105,15190,15915,31105,15190,15915,0,0,0
26971,39857,19279,20578,39857,19279,20578,0,0,0
26974,57522,27223,30299,57522,27223,30299,0,0,0
26977,12120,5582,6538,12120,5582,6538,0,0,0
26980,17962,8436,9526,17962,8436,9526,0,0,0
26983,28662,13684,14978,28662,13684,14978,0,0,0
26986,15771,7395,8376,15771,7395,8376,0,0,0
26989,18800,8844,9956,18800,8844,9956,0,0,0
26992,47648,23385,24263,47648,23385,24263,0,0,0
26995,26593,12810,13783,26593,12810,13783,0,0,0
26998,19081,9266,9815,19081,9266,9815,0,0,0
27001,30998,15037,15961,30998,15037,15961,0,0,0
27004,26476,12693,13783,26476,12693,13783,0,0,0
27007,65668,33347,32321,65668,33347,32321,0,0,0
767,485348,238472,246876,485348,238472,246876,0,0,0
27010,43267,21056,22211,43267,21056,22211,0,0,0
27013,61120,29697,31423,61120,29697,31423,0,0,0
27016,42667,21002,21665,42667,21002,21665,0,0,0
27019,65568,32441,33127,65568,32441,33127,0,0,0
27022,37904,18548,19356,37904,18548,19356,0,0,0
27025,54967,27450,27517,54967,27450,27517,0,0,0
27028,45020,22372,22648,45020,22372,22648,0,0,0
27031,43147,21022,22125,43147,21022,22125,0,0,0
27034,33822,16719,17103,33822,16719,17103,0,0,0
27037,30074,14661,15413,30074,14661,15413,0,0,0
27040,27792,13504,14288,27792,13504,14288,0,0,0
768,163961,75927,88034,163961,75927,88034,0,0,0
27043,12365,6158,6207,12365,6158,6207,0,0,0
27046,15492,7073,8419,15492,7073,8419,0,0,0
27049,18205,8563,9642,18205,8563,9642,0,0,0
27052,22964,10634,12330,22964,10634,12330,0,0,0
27055,7749,3563,4186,7749,3563,4186,0,0,0
27058,10299,4679,5620,10299,4679,5620,0,0,0
27061,11527,5325,6202,11527,5325,6202,0,0,0
27064,7950,3599,4351,7950,3599,4351,0,0,0
27067,10560,4812,5748,10560,4812,5748,0,0,0
27070,9391,4348,5043,9391,4348,5043,0,0,0
27073,8840,4065,4775,8840,4065,4775,0,0,0
27076,7777,3593,4184,7777,3593,4184,0,0,0
27079,6791,3069,3722,6791,3069,3722,0,0,0
27082,6364,2870,3494,6364,2870,3494,0,0,0
27085,7687,3576,4111,7687,3576,4111,0,0,0
769,180275,87207,93068,180275,87207,93068,0,0,0
27088,22639,10463,12176,22639,10463,12176,0,0,0
27091,35825,17224,18601,35825,17224,18601,0,0,0
27094,18977,9097,9880,18977,9097,9880,0,0,0
27097,26050,12739,13311,26050,12739,13311,0,0,0
27100,27536,13455,14081,27536,13455,14081,0,0,0
27103,5130,2460,2670,5130,2460,2670,0,0,0
27106,223,130,93,223,130,93,0,0,0
27109,19542,9818,9724,19542,9818,9724,0,0,0
27112,23101,11367,11734,23101,11367,11734,0,0,0
27115,508,241,267,508,241,267,0,0,0
27118,744,213,531,744,213,531,0,0,0
770,190375,87529,102846,190375,87529,102846,0,0,0
27121,16481,7426,9055,16481,7426,9055,0,0,0
27124,13052,6155,6897,13052,6155,6897,0,0,0
27127,16265,7373,8892,16265,7373,8892,0,0,0
27130,12398,5856,6542,12398,5856,6542,0,0,0
27133,22383,10571,11812,22383,10571,11812,0,0,0
27136,6988,3179,3809,6988,3179,3809,0,0,0
27139,7072,3162,3910,7072,3162,3910,0,0,0
27142,17472,8186,9286,17472,8186,9286,0,0,0
27145,9166,4245,4921,9166,4245,4921,0,0,0
27148,18930,8603,10327,18930,8603,10327,0,0,0
27151,14408,6555,7853,14408,6555,7853,0,0,0
27154,10604,4756,5848,10604,4756,5848,0,0,0
27157,11413,5205,6208,11413,5205,6208,0,0,0
27160,13743,6257,7486,13743,6257,7486,0,0,0
771,234819,109194,125625,234819,109194,125625,0,0,0
27163,25346,11951,13395,25346,11951,13395,0,0,0
27166,25657,12079,13578,25657,12079,13578,0,0,0
27169,32727,15391,17336,32727,15391,17336,0,0,0
27172,24342,11103,13239,24342,11103,13239,0,0,0
27175,9263,4261,5002,9263,4261,5002,0,0,0
27178,11135,5126,6009,11135,5126,6009,0,0,0
